################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         28   3.7083070637647361E-02   2.2509361723606425E-01   1.2018988885688160E-01   1.9311909365832009E-02
         2         29   9.3703638032158563E-03   5.9834428977592072E-02   3.2954726847502995E-02   5.1897009492887485E-03
         2         30   2.0199762930723557E-02   1.3948914224283465E-01   7.3425939175389685E-02   1.2469191712325592E-02
         2         31   2.2672689441690905E-02   8.7817598838790908E-02   4.9970734684055475E-02   7.8674635281455012E-03
         2         32   8.8983200994891226E-04   1.6547446879368443E-02   6.5912975620577201E-03   1.6901157977402663E-03
         2         33   1.4069921593426207E-05   9.6815497779887826E-04   2.3836578243900244E-04   9.4705191540696141E-05
         2         34   1.5785867746998063E-02   1.0087778914071972E-01   4.9090686610313738E-02   9.0487686283318210E-03
         2         35   7.1264483844137999E-03   7.6498295742455327E-02   3.7413985504696330E-02   7.5324091262429817E-03
         2         36   5.5500484194450275E-05   2.6528559888328836E-03   6.7036620912498842E-04   2.4062921133010662E-04
         2         37   8.3732541038368333E-03   2.8599096370905269E-02   1.6012810740725556E-02   2.4357476950888691E-03
         2         38   3.3698894453148645E-03   2.7156716855279837E-02   1.1007611619517648E-02   2.2851176696324794E-03
         2         39   4.7165385916221256E-03   1.8697504946018583E-02   1.0349082252711202E-02   1.6092922941176816E-03
         2         40   9.9729356499331451E-04   1.5590543028348105E-02   5.3438831315032916E-03   1.3795171327225864E-03
         2         41   1.3479517678913692E-03   8.8467193164713364E-03   4.7072879345753695E-03   8.9173100964957334E-04
         2         42   2.1993951231850923E-04   7.9259555219718704E-03   2.1806703849133868E-03   6.8982778383926623E-04
