################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0120554688082123E+01 a       245     0    10     1    20
  7.4713950064153045E-01 a       246     0    10     1    21
 -7.1457589752046422E+00 a       247     0    10     1    22
 -9.5052917691865346E-01 a       248     0    10     1    23
 -7.4639647953649941E+00 a       249     0    10     1    24
  2.9797895713071516E+00 a       250     0    10     1    25
  1.6093697365102788E+00 a       251     0    11     1     1
 -3.8717361282842409E+00 a       252     0    11     1     2
  1.4553962250235988E+00 a       253     0    11     1     3
  4.8733552878277955E+00 a       254     0    11     1     4
 -1.5947984198957661E+00 a       255     0    11     1     5
 -7.2342733326217334E-01 a       256     0    11     1     6
  5.2562721289863323E-01 a       257     0    11     1     7
  2.8760774412109673E+00 a       258     0    11     1     8
  1.1761927464609725E+00 a       259     0    11     1     9
 -1.1324364489582423E-02 a       260     0    11     1    10
  1.1290700266290381E+00 a       261     0    11     1    11
  4.0019209220867937E+00 a       262     0    11     1    12
 -6.4961958548763086E+00 a       263     0    11     1    13
 -1.3066068272600728E-01 a       264     0    11     1    14
 -9.2275540090063191E-01 a       265     0    11     1    15
  5.6722214026693267E+00 a       266     0    11     1    16
  4.9327297330489985E+00 a       267     0    11     1    17
 -3.8606372254623471E+00 a       268     0    11     1    18
 -4.4538319462226799E+00 a       269     0    11     1    19
 -1.3382656630451233E+00 a       270     0    11     1    20
  1.6861370652181775E+00 a       271     0    11     1    21
  3.0816125656590878E+00 a       272     0    11     1    22
  1.5963364722908333E+00 a       273     0    11     1    23
  7.0750311336598690E-02 a       274     0    11     1    24
  1.2132370711617608E+00 a       275     0    11     1    25
 -1.3524195067084040E+01 a       276     0    12     1     1
  6.6710060045533135E+00 a       277     0    12     1     2
  9.0451090905637144E-01 a       278     0    12     1     3
 -2.1337370538666793E+01 a       279     0    12     1     4
 -5.0486501016467873E+00 a       280     0    12     1     5
 -9.4636878578181669E+00 a       281     0    12     1     6
 -7.4395125854640236E+00 a       282     0    12     1     7
 -1.0388705686268542E+01 a       283     0    12     1     8
 -1.7871399851951115E+00 a       284     0    12     1     9
  4.4778830123748889E+00 a       285     0    12     1    10
 -1.4753533423976869E+01 a       286     0    12     1    11
 -4.4852922430991615E+00 a       287     0    12     1    12
  3.4761624388814969E+00 a       288     0    12     1    13
 -2.1397777788765365E-01 a       289     0    12     1    14
  5.8952419853109062E-01 a       290     0    12     1    15
  7.3480625778243311E+00 a       291     0    12     1    16
  1.3101769331697989E+01 a       292     0    12     1    17
  1.0771010166071378E+01 a       293     0    12     1    18
 -1.4367309638118633E+00 a       294     0    12     1    19
  7.8986043227010549E+00 a       295     0    12     1    20
 -7.7829716812945970E-01 a       296     0    12     1    21
  5.6069578939669444E+00 a       297     0    12     1    22
  3.3433024975892862E+00 a       298     0    12     1    23
  1.1479341262603628E+01 a       299     0    12     1    24
  3.5410994670423777E+00 a       300     0    12     1    25
 -1.2937634451739350E+00 a       301     0    13     1     1
  1.1355199329454524E+00 a       302     0    13     1     2
 -3.6025814362719366E-01 a       303     0    13     1     3
 -3.2865977348932511E+00 a       304     0    13     1     4
  7.1697582201757415E-01 a       305     0    13     1     5
  8.4704990848207784E-01 a       306     0    13     1     6
  5.7563942008867663E-01 a       307     0    13     1     7
 -6.5142366427931508E-01 a       308     0    13     1     8
  1.8965598731410922E+00 a       309     0    13     1     9
 -1.9654448385276377E-01 a       310     0    13     1    10
 -1.5647330747650592E-02 a       311     0    13     1    11
 -1.4712915704718079E+00 a       312     0    13     1    12
  2.5431132519286161E+00 a       313     0    13     1    13
  1.0773950789837021E+00 a       314     0    13     1    14
 -7.4921822932267276E-02 a       315     0    13     1    15
 -2.7124341454009140E+00 a       316     0    13     1    16
 -7.7901562082783191E-02 a       317     0    13     1    17
  1.5544733257354475E+00 a       318     0    13     1    18
  3.0693451390114896E+00 a       319     0    13     1    19
 -8.8299083135595735E-01 a       320     0    13     1    20
  7.2492247906215534E-01 a       321     0    13     1    21
 -2.3216752283902986E+00 a       322     0    13     1    22
 -3.1673368089130585E+00 a       323     0    13     1    23
  1.3848478994279432E+00 a       324     0    13     1    24
 -2.2274284803258206E+00 a       325     0    13     1    25
  8.3519721312542696E+00 a       326     0    14     1     1
 -2.8420550668140736E+00 a       327     0    14     1     2
  9.5329897647884165E-01 a       328     0    14     1     3
  8.2885967339771049E+00 a       329     0    14     1     4
  2.5220708136194916E+00 a       330     0    14     1     5
  3.2606708013758059E+00 a       331     0    14     1     6
  5.6125951264272143E+00 a       332     0    14     1     7
  4.7960272748798696E+00 a       333     0    14     1     8
  1.7907086405386379E+00 a       334     0    14     1     9
